Sr.No.,FIR No.,IPC,Date of Offence,Date of FIR,PoliceStation,Day,Time of Offence,First Vehicle,Fatalities,Serious,Minor,Second Vehicle,Fatalities,Serious,Minor,Type of Collision,Hit and Run,Intersection/Mid Block,Maneuver type as per FIR,Place/Location of Occurrence,Total Fatalities,Total Serious ,Total Minor,Latitude,Longitude,Road Name ,Road Number,Rural/Urban
94,156,"279, 338, 427",25/05/17,25/10/17,Morinda,Thursday,14:30,Car/Jeep/Van,0,0,0,Two wheeler,0,1,0,Head on,0,Intersection,Approaching from wrong side,Near Village Kalaran,0,1,0,30.785866,76.521246,SH,SH-08,Rural
95,162,"279, 337",23/10/17,04/11/17,Morinda,Monday,17:30,Bus/Truck,0,0,0,Two wheeler,0,0,1,Head on,0,Intersection,Approaching from wrong side,Near Village Marouli Kalan,0,0,1,30.785866,76.521246,SH,SH-08,Rural
96,167,"279,304-A ",09/11/17,10/11/17,Morinda,Thursday,17:30,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,T Point Chamkaur Sahib Morinda,1,0,0,30.790318,76.490531,SH,SH-08,Urban
97,168,"279,337,304-A ",10/11/17,10/11/17,Morinda,Friday,15:30,Bus/Truck,0,0,0,Two wheeler,1,0,0,Head on,0,Intersection,Over Speeding,HDFC Bank Morinda,1,0,0,30.795423,76.498554,ODR,ODR-08,Urban
98,186,"279,304-A,427 ",30/11/17,30/11/17,Morinda,Thursday,15:30,Bus/Truck,0,0,1,Two wheeler,1,0,0,Sideswipe ,0,Mid Block,Over Speeding,Panjkoha Palace Morinda,1,0,1,30.789276,76.470579,NH,NH-95,Rural
99,188,"279,304-A ",01/12/17,02/12/17,Morinda,Friday,0:00,Bus/Truck,0,0,0,Two wheeler,1,0,0,Head on,0,Intersection,Approaching from wrong side,T Point Chamkaur Sahib Morinda,1,0,0,30.790318,76.490531,SH,SH-08,Urban
100,192,"279,337,427,304-A ",08/12/17,09/12/17,Morinda,Friday,19:30,Car/Jeep/Van,0,0,0,Two wheeler,1,0,0,Sideswipe ,0,Intersection,Over Speeding,Over Bridge Bypass Morinda,1,0,0,30.779258,76.493485,NH,NH-95,Rural
101,194,"279,304-A,427 ",10/12/17,11/12/17,Morinda,Sunday,0:00,Car/Jeep/Van,0,0,0,Two wheeler,1,0,0,Head on,0,Mid Block,Over Speeding,Gurdwara sahib Village Kalaran,1,0,0,30.803945,76.470351,ODR,ODR-2,Rural
102,203,"279,427",23/12/17,24/12/17,Morinda,Saturday,17:00,Bus/Truck,0,0,0,Car/Jeep/Van,0,0,1,Hit Pedestrian,0,Mid Block,Over Speeding,Near Vill. Balan Khurd,0,0,1,30.806201,76.4535485,Link Road,Link Road,Rural
103,12,"279, 304-A,427",12/02/17,13/02/17,Nurpur Bedi,Sunday,18:00,Two Wheeler,0,0,0,Two wheeler,1,1,0,Head on,0,Intersection,Over Speeding,Near Gurdwara Baba Deep Singh jhajj,1,1,0,31.210377,76.429328,MDR,MDR-59,Rural
104,47,"279, 304-A ",17/05/17,18/05/17,Nurpur Bedi,Wednesday,20:00,Car/Jeep/Van,0,0,0,Two wheeler,1,0,0,Head on,1,Intersection,over Speeding,Milk Center Asmanpur,1,0,0,31.144591,76.50152,MDR,MDR-55,Rural
105,53,"279, 304 A, 427",05/06/17,05/06/17,Nurpur Bedi,Monday,10:00,Bus/Truck,0,0,0,Two wheeler,1,1,0,Head on,1,Mid Block,over Speeding,daburji Farm Rainsrha,1,1,0,31.228621,76.364528,Link Road,Link Road,Rural
106,72,"279,304 A,337",03/07/17,03/07/17,Nurpur Bedi,Monday,0:15,Bus/Truck,1,0,0,Unknown,2,0,0,Unknown,0,Intersection,Over Speeding,Near Bus/Truck Stand Kalma ,3,0,0,31.231247,76.39327,MDR,MDR-55,Rural
107,75,"279,304-A,337,338,427",06/07/17,07/07/17,Nurpur Bedi,Thursday,20:30,Tractor-Trolley,0,0,0,Two wheeler,1,1,0,Head on,1,Mid Block,Over Speeding,Near Vill.Ajampur,1,1,0,31.158908,76.487419,MDR,MDR-55,Rural
108,77,"279,337,338",23/07/17,28/07/17,Nurpur Bedi,Sunday,18:40,Two Wheeler,0,0,0,Pedestrian,0,1,0,Hit Pedestrian,1,Mid Block,Over Speeding,Vill.Thana,0,1,0,31.209682,76.441636,Link Road,Link Road,Rural
109,78,"279,337,338,427",02/08/17,04/08/17,Nurpur Bedi,Wednesday,7:00,Bus/Truck,0,0,0,Bus/Truck,0,1,0,Unknown,1,Intersection,Over Speeding,Vill.Bassi,0,1,0,31.154649,76.544849,Link Road,Link Road,Rural
110,87,"279,304 A,427",17/08/17,23/08/17,Nurpur Bedi,Thursday,6:15,Car/Jeep/Van,0,0,0,Two wheeler,1,1,0,Head on,1,Intersection,Over Speeding,Vill.Sekhpur,1,1,0,31.155946,76.529961,Link Road,Link Road,Rural
111,89,"283,304 A,427",30/08/17,30/08/17,Nurpur Bedi,Wednesday,1:00,Bus/Truck,0,0,0,Car/Jeep/Van,1,2,0,Head on,0,Mid Block,Wrong Parking,Vill Chehrh mjara,1,2,0,31.159339,76.507364,Link Road,Link Road,Rural
112,96,"279,337,338,304 A,427",10/09/17,12/09/17,Nurpur Bedi,Sunday,17:30,Unknown,0,0,0,Two wheeler,1,0,0,Head on,1,Intersection,Over Speeding,Asalpur road Bainsa,1,0,0,31.129674,76.515995,MDR,MDR-55,Rural
113,104,"279,337,338,427",29/09/17,03/10/17,Nurpur Bedi,Friday,18:00,Two Wheeler,0,0,0,Two wheeler,0,1,1,Unknown,0,Intersection,Over Speeding,Power house Bainsa,0,1,1,31.12992,76.51577,MDR,MDR-55,Rural
114,112,"279,304 A,427",18/10/17,18/10/17,Nurpur Bedi,Wednesday,11:00,Unknown,0,0,0,Two wheeler,1,0,0,Head on,1,Intersection,Over Speeding,Near sawarn Palace Nurpur bedi,1,0,0,31.163865,76.476379,Link Road,Link Road,Urban
115,125,"279,304 A",07/11/17,07/11/17,Nurpur Bedi,Tuesday,12:00,Unknown,0,0,0,Two wheeler,1,0,0,Head on,1,Mid Block,Over Speeding,vill.Hiatpur Near PBJS School,1,0,0,31.160735,76.414711,Link Road,Link Road,Rural
116,139,"279,304 A",12/12/17,13/12/17,Nurpur Bedi,Tuesday,19:00,Unknown,0,0,0,Pedestrian,1,0,0,Head on,1,Mid Block,Over Speeding,Petrol pump bassi,1,0,0,31.153683,76.552042,Link Road,Link Road,Rural
117,2,"279,304-A",01/01/17,01/01/17,Sadar Roopnagar,Sunday,17:30,Unknown,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Mid Block,Over Speeding,Thali Kalan,1,0,0,31.0216472,76.5852962,Link Road,Link Road,Rural
118,11,"279,304-A,427",21/01/17,22/01/17,Sadar Roopnagar,Saturday,11:30,Two Wheeler,0,0,0,Cyclist,1,0,0,Head On,0,Intersection,Over Speeding,Ramgarh Tapprian,1,0,0,30.9361502,76.6168034,Link Road,Link Road,Rural
119,17,"279,304-A",14/02/17,17/02/17,Sadar Roopnagar,Tuesday,18:30,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Head On,0,Mid Block,Over Speeding,Panjola,1,0,0,30.9182574,76.5979462,Link Road,Link Road,Rural
120,40,"279,304-A,427",30/04/17,30/04/17,Sadar Roopnagar,Sunday,18:30,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Head On,0,Mid Block,Over Speeding,Khauspur,1,0,0,30.9957874,76.5443876,NH,NH-205,Rural
121,41,279 427 337,01/05/17,03/05/17,Sadar Roopnagar,Monday,10:00,Car/Jeep/Van,0,0,0,Cyclist,0,0,1,Hit Cyclist,0,Mid Block,Over Speeding,Ahmadpur,0,0,1,31.011566,76.5713762,NH,NH-205,Rural
122,44,"279,304-A",06/05/17,06/05/17,Sadar Roopnagar,Saturday,17:00,Bus/Truck,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Mid Block,Over Speeding,Ahmadpur,1,0,0,31.011566,76.571376,NH,NH-205,Rural
123,48,"279,304-A",15/05/17,15/05/17,Sadar Roopnagar,Monday,8:00,Tractor-Trolley,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Mid Block,Over Speeding,Fatehpur,1,0,0,30.9015938,76.6493897,Link Road,Link Road,Rural
124,51,"279,304-A",26/05/17,26/05/17,Sadar Roopnagar,Friday,15:40,Two Wheeler,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Mid Block,Over Speeding,Mianpur,1,0,0,30.9295002,76.5743409,Link Road,Link Road,Rural
125,53,"279,337,427304-A",02/06/17,03/06/17,Sadar Roopnagar,Friday,21:40,Two Wheeler,1,0,0,Two Wheeler,1,0,0,Head On,0,Intersection,Over Speeding,Tax Barrier Ghanauli ,2,0,0,31.0244412,76.5855158,Link Road,Link Road,Rural
126,60,"279,304-A",18/06/17,19/06/17,Sadar Roopnagar,Sunday,20:30,Two Wheeler,0,0,0,Cyclist,1,0,0,Hit Cyclist,0,Mid Block,Over Speeding,Kheri,1,0,0,30.9245765,76.6496824,Link Road,Link Road,Rural
127,63,"279,337,427304-A",21/06/17,21/06/17,Sadar Roopnagar,Wednesday,6:00,Car/Jeep/Van,0,0,0,Car/Jeep/Van,1,0,0,Head On,0,Mid Block,Over Speeding,Inderpura,1,0,0,31.0432655,76.6016195,Link Road,Link Road,Rural
128,71,"279,304-A",08/07/17,08/07/17,Sadar Roopnagar,Saturday,16:00,Bus/Truck,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,Tax Barrier Ghanauli ,1,0,0,31.0201542,76.5920304,SH,SH-16,Rural
129,81,"279,337,304-A,427",05/08/17,05/08/17,Sadar Roopnagar,Saturday,18:30,Bus/Truck,0,0,0,Bus/Truck,1,0,2,Head On,0,Intersection,Over Speeding,Tax Barrier Ghanauli ,1,0,2,31.0327125,76.5962992,NH,NH-205,Rural
130,85,"279,304-A",15/08/17,16/08/17,Sadar Roopnagar,Tuesday,23:00,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,Tax Barrier Ghanauli ,1,0,0,31.0176872,76.5634725,Link Road,Link Road,Rural
131,86,279 337 427,21/08/17,22/08/17,Sadar Roopnagar,Monday,21:30,Car/Jeep/Van,0,0,0,Two Wheeler,0,0,2,Head On,0,Intersection,Over Speeding,T point Malakpur,0,0,2,31.0176872,76.5634725,Link Road,Link Road,Rural
132,90,"279,304-A,427,337",28/08/17,28/08/17,Sadar Roopnagar,Monday,13:30,Bus/Truck,0,0,0,Two Wheeler,1,0,1,Head On,0,Mid Block,Over Speeding,Lohgarh Fedde,1,0,1,31.0281442,76.5654353,Link Road,Link Road,Rural
133,94,"279,337,304-A,427",06/09/17,06/09/17,Sadar Roopnagar,Wednesday,9:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Head On,0,Mid Block,Over Speeding,Ghanaula,1,0,0,31.0281046,76.6045487,SH,SH-16,Rural
134,96,"279,304-A",14/09/17,14/09/17,Sadar Roopnagar,Thursday,19:00,Bus/Truck,0,0,0,Car/Jeep/Van,1,0,0,Head On,0,Intersection,Over Speeding,T point Malakpur,1,0,0,31.0176872,76.5634723,Link Road,Link Road,Rural
135,102,"279,304-A",22/09/17,23/09/17,Sadar Roopnagar,Friday,19:30,Two Wheeler,0,0,0,Cyclist,1,0,0,Hit Cyclist,0,Mid Block,Over Speeding,Santokhgarh Tapprian,1,0,0,30.9296095,76.5958185,Link Road,Link Road,Rural
136,120,"279,304-A",31/10/17,31/10/17,Sadar Roopnagar,Tuesday,7:30,Bus/Truck,0,0,0,Cyclist,1,0,0,Hit Cyclist,0,Mid Block,Over Speeding,Panjoli,1,0,0,30.9219125,76.5865375,Link Road,Link Road,Rural
137,122,"279,304-A",01/11/17,02/11/17,Sadar Roopnagar,Wednesday,6:30,Bus/Truck,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Mid Block,Over Speeding,Singhpur,1,0,0,31.0205546,76.5833854,Link Road,Link Road,Rural
138,126,"279,337,304-A",16/11/17,16/11/17,Sadar Roopnagar,Thursday,15:00,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,Nuho Colony,1,0,0,31.0313516,76.5757157,Link Road,Link Road,Rural
139,130,"279,304-A",27/11/17,28/11/17,Sadar Roopnagar,Monday,18:20,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Mid Block,Over Speeding,Khauspur,1,0,0,30.9957875,76.544876,NH,NH-205,Rural
140,134,"279,304-A",09/12/17,09/12/17,Sadar Roopnagar,Saturday,5:30,Bus/Truck,0,0,0,Pedestrian,2,0,0,Hit Pedestrian,0,Mid Block,Over Speeding,Bahadurpur,2,0,0,31.0227175,76.5400819,Link Road,Link Road,Rural
141,141,279 337 427,30/12/17,30/12/17,Sadar Roopnagar,Saturday,10:40,Bus/Truck,0,0,0,Two Wheeler,0,0,1,Head On,0,Mid Block,Over Speeding,Tax Barrier Ghanauli ,0,0,1,31.0245234,76.5850325,Link Road,Link Road,Rural
142,3,"279, 304-A ",19/01/17,20/01/17,Singh Bhagwantpura ,Thursday,21:00,Bus/Truck,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,"Near Bhrampur Zimidara ,Ropar",1,0,0,30.910049,76.544206,NH,NH-205,Rural
143,6,"279, 337, 427",20/01/17,27/01/17,Singh Bhagwantpura ,Friday,12:20,Bus/Truck,0,0,0,Two Wheeler,0,1,0,Sideswipe ,1,Intersection,Over Speeding,Bhaman Majra ,0,1,0,30.889317,76.567861,Link Road,Link Road,Rural
144,9,"279, 337, 338 ",25/01/17,10/02/17,Singh Bhagwantpura ,Wednesday,16:30,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Sideswipe ,1,Intersection,Over Speeding,Solkhiya,0,1,0,30.898923,76.548158,NH,NH-205,Rural
145,13,"279,337 ,427 ,304-A",12/02/17,23/02/17,Singh Bhagwantpura ,Sunday,16:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Sideswipe ,1,Intersection,Over Speeding,Bhago Majra ,1,0,0,30.853085,76.564034,NH,NH-205,Rural
146,15,"279, 337",23/02/17,01/03/17,Singh Bhagwantpura ,Thursday,19:30,Car/Jeep/Van,0,0,0,Pedestrian,0,1,0,Hit Pedestrian,0,Intersection,Over Speeding,Bann Majra,0,1,0,30.874823,76.556444,NH,NH-205,Rural
147,19,"279, 337, 427, 304-A",10/03/17,10/03/17,Singh Bhagwantpura ,Friday,3:00,Car/Jeep/Van,0,0,0,Car/Jeep/Van,1,0,0,Sideswipe ,1,Intersection,Over Speeding,Mugal Majri,1,0,0,30.865571,76.548904,Link Road,Link Road,Rural
148,26,"279, 337, 427,",20/03/17,22/03/17,Singh Bhagwantpura ,Monday,21:40,Unknown,0,0,0,Cyclist,0,1,0,Hit and Run,1,Mid Block,Over Speeding,Dhiyanpura,0,1,0,30.824883,76.555903,Link Road,Link Road,Rural
149,33,"279, 304-A ",27/04/17,27/04/17,Singh Bhagwantpura ,Thursday,8:00,Bus/Truck,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,1,Mid Block,Over Speeding,Kalal Majra ,1,0,0,30.860234,76.609504,Link Road,Link Road,Rural
150,34,"279, 337, 338 ",03/05/17,05/05/17,Singh Bhagwantpura ,Wednesday,21:15,Car/Jeep/Van,0,0,0,Two Wheeler,0,2,0,Sideswipe ,1,Intersection,Over Speeding,Pipli chowk ,0,2,0,30.872806,76.591839,Link Road,Link Road,Rural
151,43,"279, 337, 427,",03/05/17,31/05/17,Singh Bhagwantpura ,Wednesday,12:45,Bus/Truck,0,0,0,Two Wheeler,0,2,0,Hit from Back,0,Intersection,Over Speeding,Solkhiya,0,2,0,30.895971,76.534884,Link Road,Link Road,Rural
152,46,"279,304-A,337,427",08/06/17,09/06/17,Singh Bhagwantpura ,Thursday,18:05,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Hit from Back,1,Intersection,Over Speeding,Rangilpur,1,0,0,30.919631,76.542858,NH,NH-205,Rural
153,51,"279,304-A",28/06/17,28/06/17,Singh Bhagwantpura ,Wednesday,17:45,Bus/Truck,0,0,0,Cyclist,1,0,0,Hit Cyclist,1,Intersection,Over Speeding,Bann Majra,1,0,0,30.852979,76.563058,Link Road,Link Road,Rural
154,56,"279,337,427,",17/07/17,18/07/17,Singh Bhagwantpura ,Monday,6:30,Bus/Truck,0,0,0,Bus/Truck,0,0,1,Head on,0,Intersection,Rough Driving,Solkhiya,0,0,1,30.908817,76.545162,NH,NH-205,Rural
155,59,"279,337,427,",22/07/17,10/08/17,Singh Bhagwantpura ,Saturday,18:45,Bus/Truck,0,0,0,Cyclist,0,0,1,Hit from Back,1,Intersection,Over Speeding,"Near Bhrampur Zimidara ,Ropar",0,0,1,30.910055,76.543271,NH,NH-205,Rural
156,65,"279,304-A",09/09/17,16/09/17,Singh Bhagwantpura ,Saturday,14:00,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,1,Mid Block,Over Speeding,Bhiora ,1,0,0,30.935179,76.538971,NH,NH-205,Rural
157,67,"279,304-A",25/09/17,26/09/17,Singh Bhagwantpura ,Monday,16:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Sideswipe ,1,Intersection,Over Speeding,Solkhiya,1,0,0,30.896509,76.534381,Link Road,Link Road,Rural
158,71,"279,304-A,427",13/10/17,14/10/17,Singh Bhagwantpura ,Friday,19:30,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Hit from Back,1,Intersection,Over Speeding,"Bhrampur Zimidara ,Ropar",1,0,0,30.909241,76.530021,Link Road,Link Road,Rural
159,72,"279,304-A,428",25/09/17,15/10/17,Singh Bhagwantpura ,Monday,18:45,Two Wheeler,0,0,1,Cyclist,1,0,0,Hit from Back,0,Mid Block,Over Speeding,Chatamli,1,0,1,30.814873,76.554848,Link Road,Link Road,Rural
160,77,"279,337 ,427 ,304-A",05/11/17,06/11/17,Singh Bhagwantpura ,Sunday,18:15,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Sideswipe ,1,Intersection,Over Speeding,Bhadali ,1,0,0,30.831177,76.552129,Link Road,Link Road,Rural
161,82,"279,304-A",12/12/17,12/12/17,Singh Bhagwantpura ,Tuesday,4:00,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,1,Intersection,Over Speeding,Khabra ,1,0,0,30.890034,76.542187,Link Road,Link Road,Rural
162,2,"279,304-A,427",30/12/17,16/01/18,Singh Bhagwantpura ,Saturday,19:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Hit from Back,1,Intersection,Over Speeding,Bann Majra,1,0,0,30.852745,76.560126,Link Road,Link Road,Rural
163,2,"279, 304-A ",01/09/17,01/10/17,Anandpur Sahib ,Friday,19:45,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,village Rampur jajur ,1,0,0,31.2889504,76.4294946,SH,SH-22,Rural
164,5,"279, 337, 338,427",18/01/17,18/01/17,Anandpur Sahib ,Wednesday,13:50,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,2,Head on,0,Intersection,Over Speeding,Main Road Ganguwal Morh,0,1,2,31.2553875,76.4734989,SH,SH-22,Rural
165,9,"283,304-A, 337, 427",02/03/17,02/04/17,Anandpur Sahib ,Thursday,17:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,1,0,Head on,0,Intersection,Over Speeding,near village Nangali ,1,1,0,31.3002506,76.4226751,SH,SH-22,Rural
166,16,"279, 337, 427",14/02/17,15/02/17,Anandpur Sahib ,Tuesday,11:30,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Head on,0,Intersection,Over Speeding,T Point Gambherpur G.T Road ,0,1,0,31.273425,76.441111,SH,SH-22,Rural
167,17,"279,304-A,427",30/01/17,15/02/17,Anandpur Sahib ,Monday,15:00,Two Wheeler,0,0,0,Two Wheeler,1,0,0,Hit From Back,0,Intersection,Over Speeding,T Point matour ,1,0,0,31.2131941,76.5421397,SH,SH-22,Rural
168,18,"279, 304-A ,427,337",21/02/17,21/02/17,Anandpur Sahib ,Tuesday,11:30,Bus/Truck,0,0,0,Two Wheeler,1,0,1,Hit From Back,0,Mid Block,Over Speeding,Bhupnali petrol pump front village Nanagli ,1,0,1,31.2941334,76.4254832,SH,SH-22,Rural
169,21,"279, 337, 338",23/02/17,26/02/17,Anandpur Sahib ,Thursday,23:30,Bus/Truck,0,0,0,Bus/Truck,0,0,1,Head on Tail,0,Intersection,Over Speeding,Agampur chowk ,0,0,1,31.239036,76.489517,SH,SH-22,Rural
170,24,"279, 337,427",28/02/17,03/05/17,Anandpur Sahib ,Tuesday,20:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,0,1,Head on,0,Intersection,Over Speeding,village agampur ,0,0,1,31.239036,76.489517,SH,SH-22,Rural
171,32,"279, 304-A ,",25/03/17,27/03/18,Anandpur Sahib ,Saturday,10:30,Unknown,0,0,0,Pedestrian,1,0,0,Hit Fixed Object,0,Intersection,Over Speeding,Near railway  coloney anandpur sahib ,1,0,0,31.2334759,76.498481,SH,SH-22,Urban
172,38,"279, 337, 427",04/09/17,04/10/17,Anandpur Sahib ,Monday,20:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,3,Head on,0,Intersection,Over Speeding,village magewal ,0,1,3,31.256008,76.474347,SH,SH-22,Rural
173,63,"279, 304-A,427",17/07/17,17/07/17,Anandpur Sahib ,Monday,19:15,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Head on,0,Mid Block,Over Speeding,village Dasgrai,1,0,0,31.278111,76.436433,SH,SH-22,Rural
174,66,"279, 337,338, 427",23/07/17,23/07/17,Anandpur Sahib ,Sunday,3:00,Bus/Truck,0,0,0,Car/Jeep/Van,0,5,10,Hit From Back,0,Intersection,Over Speeding,ravi dass chowk anandpur sahib ,0,5,10,31.2371496,76.4933585,SH,SH-22,Urban
175,68,"279, 337 ,427",24/07/17,24/07/17,Anandpur Sahib ,Monday,23:30,Bus/Truck,0,0,0,Car/Jeep/Van,0,0,1,Hit From Back,0,Intersection,Over Speeding,Near railway satation Anandpur Sahib ,0,0,1,31.2334759,76.4984181,SH,SH-22,Urban
176,70,"279, 337, 304-A, 427",31/07/17,31/07/17,Anandpur Sahib ,Monday,11:00,Bus/Truck,0,0,0,Two Wheeler,1,0,1,Hit From Back,0,Intersection,Over Speeding,main road village kotla ,1,0,1,31.2095093,76.5468955,SH,SH-22,Rural
177,74,"279, 304-A ,337,427",08/11/17,08/12/17,Anandpur Sahib ,Wednesday,22:15,Car/Jeep/Van,0,0,0,Car/Jeep/Van,1,1,2,Head on,0,Mid Block,Over Speeding,main road vill. Behalu ,1,1,2,31.281442,76.434106,SH,SH-22,Rural
178,91,"279, 304-A, 427 ",14/09/17,28/09/17,Anandpur Sahib ,Thursday,13:00,Two Wheeler,0,0,0,Two Wheeler,1,0,1,Head on,0,Intersection,Over Speeding,near Ganguwal Morh ,1,0,1,31.2553875,76.4734989,SH,SH-22,Rural
179,97,"279, 304-A ,337",10/03/17,10/04/17,Anandpur Sahib ,Friday,11:20,Unknown,0,0,0,Two Wheeler,1,0,1,Hit From Back,0,Intersection,Over Speeding,G.T Road Anandpur Sahib ,1,0,1,31.2371496,76.4933585,SH,SH-22,Urban
180,98,"279, 304-A, 427",10/04/17,10/05/17,Anandpur Sahib ,Monday,22:30,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Hit From Back,0,Mid Block,Over Speeding,near vill. Jindwari ,1,0,0,31.2999925,76.4933585,Link Road,Link Road,Rural
181,100,"279,304-A,427",10/07/17,07/08/17,Anandpur Sahib ,Monday,17:30,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Hit From Back,0,Intersection,Over Speeding,main road vill. Agampur ,1,0,0,31.239036,76.489517,SH,SH-22,Rural
182,103,"279,304-A,337,427",13/10/17,13/10/17,Anandpur Sahib ,Friday,22:00,Unknown,0,0,0,Two Wheeler,1,0,1,Head on,0,Intersection,Over Speeding,Chandesar morh vill. Sadewal ,1,0,1,31.2432739,76.4845757,SH,SH-22,Rural
183,109,"279,304-A",18/11/17,18/11/17,Anandpur Sahib ,Saturday,9:30,Unknown,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,main road vill. Magewal ,1,0,0,31.256008,76.474347,SH,SH-22,Rural
184,112,"279,337,304-A,427",28/11/17,28/11/17,Anandpur Sahib ,Tuesday,2:30,Unknown,0,0,0,Bus/Truck,1,0,1,Head on,0,Mid Block,Over Speeding,main road vill. Dher ,1,0,1,31.263219,76.456406,SH,SH-22,Rural
185,128,"279,304-A,427 ",16/12/17,16/12/17,Anandpur Sahib ,Saturday,19:00,Two Wheeler,0,0,0,Two Wheeler,1,0,0,Head on,0,Intersection,Over Speeding,near pehlvan dhaba anandpur sahib ,1,0,0,31.239036,76.489517,SH,SH-22,Rural
186,132,"279,337,338,427",22/12/17,23/12/17,Anandpur Sahib ,Friday,18:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,1,Hit From Back,0,Intersection,Over Speeding,near vill. Rampur jajjar,0,1,1,31.2889504,76.4294946,SH,SH-22,Urban
187,135,"279,304-A,427",27/12/17,28/12/17,Anandpur Sahib ,Wednesday,21:15,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Hit From Back,0,Intersection,Over Speeding,near railway station main road anandpur sahib ,1,0,0,31.2334759,76.4984181,SH,SH-22,Rural
188,140,"279,337,304-A,427",31/12/17,31/12/17,Anandpur Sahib ,Sunday,18:45,Bus/Truck,0,0,0,Two Wheeler,2,1,1,Sideswipe ,0,Intersection,Over Speeding,main road vill. Dher ,2,1,1,31.269153,76.448028,SH,SH-22,Rural
189,11,"279,337,427,338",09/01/17,26/01/17,Nangal,Monday,10:45,Bus/Truck,0,0,0,Car/Jeep/Van,0,1,0,Head on,0,Mid Block,Approaching from wrong side,ajouli,0,1,0,31.2885055,76.3253678,Link Road,Link Road,Rural
190,18,"279,337,338,427",06/02/17,14/02/17,Nangal,Monday,19:30,Tractor-Trolley,0,0,0,Two Wheeler,0,2,0,Unknown,0,Mid Block,Over Speeding,khera kamlot,0,2,0,31.2885055,76.3253678,Link Road,Link Road,Rural
191,20,"279,304-A",23/02/17,24/02/17,Nangal,Thursday,19:15,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Unknown,0,Intersection,Over Speeding,patti,1,0,0,31.3404104,76.3961028,SH,SH-22,Rural
192,24,"279,337,304-A,427",01/03/17,01/03/17,Nangal,Wednesday,12:50,Car/Jeep/Van,0,0,0,Two Wheeler,1,1,0,Head on,0,Mid Block,Approaching from wrong side,ajouli,1,1,0,31.327151,76.406873,SH,SH-22,Rural
193,32,"279,304-A,427,337",20/03/17,20/03/17,Nangal,Monday,8:35,Car/Jeep/Van,0,0,0,Two Wheeler,1,1,0,Sideswipe ,0,Mid Block,Over Speeding,jandla,1,1,0,31.317205,76.413861,SH,SH-22,Rural
194,35,"279,304-A,427",25/03/17,26/03/17,Nangal,Saturday,21:30,Car/Jeep/Van,0,0,0,Cyclist,1,0,0,Hit Cyclist,0,Intersection,Over Speeding,naya nangal,1,0,0,31.378928,76.343867,SH,SH-25,Rural
195,40,"279,337,304-A,427",31/03/17,31/03/17,Nangal,Friday,8:30,Unknown,0,0,0,Two Wheeler,1,2,0,Unknown,0,Mid Block,Over Speeding,Raipur,1,2,0,31.3842533,76.38856136,Muncipality Road,Muncipality Road,Urban
